name,categories,lat,lng,city,id,url,yelp_link,rating,reviews
New Bamboo Kitchen,chinese restaurant,37.769725,-122.247945,Alameda,4c4e504bfa9d9521b22c420a,https://www.grubhub.com/restaurant/new-bamboo-kitchen-2105-lincoln-ave-alameda/323273?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=323273,https://www.yelp.com/biz/new-bamboo-kitchen-alameda,3 star rating,67 reviews
Jonathan's Sandwich House,sandwich place,37.76563656717916,-122.24258798553949,Alameda,4b916e07f964a520dcbb33e3,https://www.grubhub.com/restaurant/johnathans-sandwich-house-2316-santa-clara-ave-alameda/1295185?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=1295185,https://www.yelp.com/biz/jonathans-sandwich-house-alameda,[],[]
La Penca Azul Taco Bar,mexican restaurant,37.764838,-122.241745,Alameda,5b4fe73cf2554e002c76283c,,https://www.yelp.com/biz/la-penca-azul-taco-bar-alameda,4.5 star rating,156 reviews
Chin's Garden,food,37.765246999999995,-122.266773,Alameda,4f3221e719836c91c7b947d2,,https://www.yelp.com/biz/chins-garden-alameda,1 star rating,[]
Kokoro Donburi,japanese curry restaurant,37.76575,-122.24132,Alameda,5e50a31878f4e20008b0a3b0,,https://www.yelp.com/biz/kokoro-donburi-alameda,4 star rating,49 reviews
Vietnam House,vietnamese restaurant,37.766202,-122.24144299999999,Alameda,56d2045dcd10d9e68ffc22a1,,https://www.yelp.com/biz/vietnam-house-alameda,3.5 star rating,125 reviews
Alameda Grill,burger joint,37.76586024061411,-122.24108773796283,Alameda,4b673c58f964a520fc422be3,,https://www.yelp.com/biz/alameda-grill-alameda,4 star rating,136 reviews
Sushi Valley,japanese restaurant,37.76761617,-122.2401845,Alameda,5c492d8c06fb60002cfe2eb3,,https://www.yelp.com/biz/sushi-valley-alameda,3.5 star rating,61 reviews
Pier 29,italian restaurant,37.77056878873641,-122.2664493742631,Alameda,4bf3369dcad2c9288a9c9a99,,https://www.yelp.com/biz/pier-29-alameda,3 star rating,367 reviews
The Station,sandwich place,37.767732,-122.239429,Alameda,57afa68d498ea20e31ff8788,,https://www.yelp.com/biz/the-station-alameda,3.5 star rating,54 reviews
Boathouse Tavern,american restaurant,37.77465934741069,-122.2470036981057,Alameda,4e52a7acd22d41fba7a4747a,,https://www.yelp.com/biz/boathouse-tavern-alameda,4.5 star rating,12 reviews
Sumiko Cafe,asian restaurant,37.774327177971266,-122.26436150047853,Alameda,4bdf3c446198c9b6d06d16ff,https://www.grubhub.com/restaurant/sumiko-poke-1118b-lincoln-ave-1000g-alameda/1967594?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=1967594,https://www.yelp.com/biz/sumiko-cafe-alameda,4 star rating,64 reviews
Sampaguita Fil-Am Cuisine,asian restaurant,37.774327809336185,-122.26435576607766,Alameda,4c16c3706470a593dd5e57d2,,https://www.yelp.com/biz/sampaguita-fil-am-cuisine-alameda,3.5 star rating,86 reviews
