,Hospital,Hospital Latitude,Hospital Longitude,Venue City,Venue,Venue Latitude,Venue Longitude,Venue Category,yelp_link,rating,reviews
107,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Dareye Cafe,37.814865000000005,-122.26733999999999,Ethiopian Restaurant,https://www.yelp.com/biz/dareye-cafe-oakland,[],[]
108,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Monster Pho,37.827027351175,-122.25719786589481,Vietnamese Restaurant,https://www.yelp.com/biz/monster-pho-oakland,4,1017 
109,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Teni,37.82790833950397,-122.25667476654053,Burmese Restaurant,https://www.yelp.com/biz/teni-oakland,4.5 star rating,339 reviews
110,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Firebrand Artisan Breads,37.812876464704985,-122.26617896959972,Bakery,https://www.yelp.com/biz/firebrand-artisan-breads-oakland,4.5,47 
111,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Koffee Pot,37.815086545567844,-122.26814584807482,Breakfast Spot,https://www.yelp.com/biz/koffee-pot-oakland,4.5,167 
112,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Kitchener Oakland,37.81325265438022,-122.264629783595,Bakery,https://www.yelp.com/biz/kitchener-oakland-oakland,4.5,22 
113,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,TrueBurger,37.82861298074263,-122.25621027338147,Burger Joint,https://www.yelp.com/biz/trueburger-oakland,4,1686 
114,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Geta Sushi,37.826641752344,-122.25288462763592,Japanese Restaurant,https://www.yelp.com/biz/geta-sushi-oakland,4 star rating,1698 reviews
115,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Forage Kitchen,37.81456117805781,-122.2672128141661,Café,https://www.yelp.com/biz/forage-kitchen-oakland,5,26 
116,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Homestead,37.82597647766981,-122.25309954251948,American Restaurant,https://www.yelp.com/biz/homestead-oakland,4,457 
117,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,dosa BY DOSA,37.812307819293665,-122.26651486940688,Indian Restaurant,https://www.yelp.com/biz/dosa-by-dosa-oakland,4,393 
118,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Ohgane Korean BBQ,37.82738286577373,-122.25740656706495,Korean Restaurant,https://www.yelp.com/biz/ohgane-korean-bbq-oakland,4,2076 
119,Alta Bates Summit Medical Center,37.821647600000006,-122.26296699999999,Oakland,Mistura,37.824534827327255,-122.25485895579342,Latin American Restaurant,https://www.yelp.com/biz/mistura-oakland,[],[]
120,Brookside Hospital,37.9537211,-122.33727820000001,San Pablo,Starbread,37.955460701555936,-122.33626983881605,Bakery,https://www.yelp.com/biz/starbread-san-pablo,[],[]
121,Brookside Hospital,37.9537211,-122.33727820000001,San Pablo,Americana's Pizza/Taqueria,37.95486767701903,-122.33406182132444,Pizza Place,https://www.yelp.com/biz/americanas-pizza/taqueria-san-pablo,[],[]
122,Brookside Hospital,37.9537211,-122.33727820000001,San Pablo,El Pollo Loco,37.950971,-122.332886,Fast Food Restaurant,https://www.yelp.com/biz/el-pollo-loco-san-pablo,2.5,88 
123,Brookside Hospital,37.9537211,-122.33727820000001,San Pablo,Blue Bay Thai Cuisine,37.95565142347947,-122.33619659634726,Asian Restaurant,https://www.yelp.com/biz/blue-bay-thai-cuisine-san-pablo,3.5,435 
124,Brookside Hospital,37.9537211,-122.33727820000001,San Pablo,Taqueria La Bamba - Richmond,37.93633839544606,-122.32572397445279,Latin American Restaurant,https://www.yelp.com/biz/taqueria-la-bamba---richmond-san-pablo,[],[]
125,Brookside Hospital,37.9537211,-122.33727820000001,San Pablo,Portumex Restaurant,37.942507039915945,-122.347755270685,Mexican Restaurant,https://www.yelp.com/biz/portumex-restaurant-san-pablo,[],[]
126,Brookside Hospital,37.9537211,-122.33727820000001,San Pablo,La Strada Italian Restaurant,37.9559819,-122.3429509,Italian Restaurant,https://www.yelp.com/biz/la-strada-italian-restaurant-san-pablo,4,352 
127,Brookside Hospital,37.9537211,-122.33727820000001,San Pablo,Tacos Los Primos (Burrito Truck),37.93803555449376,-122.34751450295654,Food Truck,https://www.yelp.com/biz/tacos-los-primos-(burrito-truck)-san-pablo,[],[]
128,Brookside Hospital,37.9537211,-122.33727820000001,San Pablo,Rockin' Crawfish,37.966026,-122.343161,Seafood Restaurant,https://www.yelp.com/biz/rockin-crawfish-san-pablo,4,405 
129,Brookside Hospital,37.9537211,-122.33727820000001,San Pablo,Nation's Giant Hamburgers,37.95369407532351,-122.33346005995061,American Restaurant,https://www.yelp.com/biz/nations-giant-hamburgers-san-pablo,3,199 
130,Brookside Hospital,37.9537211,-122.33727820000001,San Pablo,Jersey Mike's Subs,37.95439759385729,-122.33200151688837,Sandwich Place,https://www.yelp.com/biz/jersey-mikes-subs-san-pablo,4,74 
